codigo_nacional,codigo_dcp,nombre_del_medicamento,ficha_tecnica,sustancias_activas,codigo_atc,dosis_y_como_tomar,receta,generico,laboratorio,para_que_se_utiliza,efectos_adversos_y_interacciones
606351,400298006,FLUCONAZOL KABI 2 MG/ML SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/73900/73900_ft.pdf,fluconazol,J02AC01,VÍA INTRAVENOSA  (Fluconazol 200 mg inyectable perfusión 100 ml),SI,SI,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73900/73900_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73900/73900_ft.pdf
606352,384913004,FLUCONAZOL KABI 2 MG/ML SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/73900/73900_ft.pdf,fluconazol,J02AC01,VÍA INTRAVENOSA  (Fluconazol 400 mg inyectable perfusión 200 ml),SI,SI,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73900/73900_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73900/73900_ft.pdf
606360,60331000140104,GLUCOSA B.BRAUN 30% SOLUCIÓN PARA PERFUSIÓN,https://cima.aemps.es/cima/pdfs/es/ft/67634/67634_ft.pdf,glucosa,B05BA03,VÍA INTRAVENOSA  (Glucosa 30% inyectable perfusión 500 ml),SI,NO,B BRAUN MEDICAL S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/67634/67634_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/67634/67634_ft.pdf
606382,374576001,MISYO 10 MG/ML CONCENTRADO PARA SOLUCION ORAL,https://cima.aemps.es/cima/pdfs/es/ft/78456/78456_ft.pdf,metadona,N07BC02,VÍA ORAL  (Metadona 10 mg/ml solución/suspensión oral),SI,NO,INN-FARM D.D.O,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78456/78456_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78456/78456_ft.pdf
606389,324337001,VANCOMICINA SALA 500 MG POLVO PARA CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN EFG,https://cima.aemps.es/cima/pdfs/es/ft/67282/67282_ft.pdf,vancomicina,J01XA01,VÍA INTRAVENOSA  (Vancomicina 500 mg inyectable perfusion),SI,SI,"LABORATORIOS REIG JOFRE, S.A.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/67282/67282_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/67282/67282_ft.pdf
606390,324333002,VANCOMICINA SALA 1.000 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/67283/67283_ft.pdf,vancomicina,J01XA01,VÍA INTRAVENOSA  (Vancomicina 1.000 mg inyectable perfusion),SI,SI,"LABORATORIOS REIG JOFRE, S.A.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/67283/67283_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/67283/67283_ft.pdf
606400,322623000,CEPARIDIN 50 mg CAPSULAS EFG,https://cima.aemps.es/cima/pdfs/es/ft/64448/64448_ft.pdf,tramadol,N02AX02,VÍA ORAL  (Tramadol 50 mg cápsula),SI,SI,ARAFARMA GROUP S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/64448/64448_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/64448/64448_ft.pdf
606401,323365007,UXAZEN 10MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/77743/77743_ft.pdf,donepezilo,N06DA02,VÍA ORAL  (Donepezilo 10 mg comprimido),SI,SI,UXA FARMA S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/77743/77743_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/77743/77743_ft.pdf
606404,408015000,MOXIFLOXACINO KERN PHARMA 400 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/78546/78546_ft.pdf,moxifloxacino,J01MA14,VÍA ORAL  (Moxifloxacino 400 mg comprimido),SI,SI,KERN PHARMA S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78546/78546_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78546/78546_ft.pdf
606405,322093006,METOCLOPRAMIDA KERN PHARMA 10MG/2ML SOLUCION INYECTABLE EFG,https://cima.aemps.es/cima/pdfs/es/ft/78556/78556_ft.pdf,metoclopramida,A03FA01,"VÍA INTRAMUSCULAR, VÍA INTRAVENOSA  (Metoclopramida 10 mg inyectable 2 ml)",SI,SI,KERN PHARMA S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78556/78556_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78556/78556_ft.pdf
606412,376690007,TRAZODONA NORMON 100 MG COMPRIMIDOS EFG,https://cima.aemps.es/cima/pdfs/es/ft/78585/78585_ft.pdf,trazodona,N06AX05,VÍA ORAL  (Trazodona 100 mg comprimido),SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78585/78585_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78585/78585_ft.pdf
606423,323673005,"PIPERACILINA/TAZOBACTAM NORMON 2 G/0,25 G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG",https://cima.aemps.es/cima/pdfs/es/ft/78656/78656_ft.pdf,piperacilina + tazobactam,J01CR05,VÍA INTRAVENOSA  (Piperacilina/Tazobactam 2.000 mg/250 mg inyectable),SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78656/78656_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78656/78656_ft.pdf
606424,323671007,"PIPERACILINA/TAZOBACTAM NORMON 4 G/0,5 G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG",https://cima.aemps.es/cima/pdfs/es/ft/78660/78660_ft.pdf,piperacilina + tazobactam,J01CR05,VÍA INTRAVENOSA  (Piperacilina/Tazobactam 4.000 mg/500 mg inyectable),SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78660/78660_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78660/78660_ft.pdf
606429,34051000140106,QUETIAPINA KERN PHARMA 50 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,https://cima.aemps.es/cima/pdfs/es/ft/78245/78245_ft.pdf,quetiapina,N05AH04,VÍA ORAL  (Quetiapina 50 mg comprimido liberación modificada),SI,SI,KERN PHARMA S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78245/78245_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78245/78245_ft.pdf
606430,426954000,QUETIAPINA KERN PHARMA 400 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,https://cima.aemps.es/cima/pdfs/es/ft/76955/76955_ft.pdf,quetiapina,N05AH04,VÍA ORAL  (Quetiapina 400 mg comprimido liberación modificada),SI,SI,KERN PHARMA S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/76955/76955_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/76955/76955_ft.pdf
606431,426401009,QUETIAPINA KERN PHARMA 300 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,https://cima.aemps.es/cima/pdfs/es/ft/76954/76954_ft.pdf,quetiapina,N05AH04,VÍA ORAL  (Quetiapina 300 mg comprimido liberación modificada),SI,SI,KERN PHARMA S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/76954/76954_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/76954/76954_ft.pdf
606432,426802009,QUETIAPINA KERN PHARMA 200 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,https://cima.aemps.es/cima/pdfs/es/ft/76953/76953_ft.pdf,quetiapina,N05AH04,VÍA ORAL  (Quetiapina 200 mg comprimido liberación modificada),SI,SI,KERN PHARMA S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/76953/76953_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/76953/76953_ft.pdf
606441,154731000140105,LEVETIRACETAM NORMON 5 MG/ML SOLUCION PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/78756/78756_ft.pdf,levetiracetam,N03AX14,VÍA INTRAVENOSA  (Levetiracetam 500 mg inyectable perfusión 100 ml),SI,NO,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78756/78756_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78756/78756_ft.pdf
606443,151711000140100,LEVETIRACETAM NORMON 10 MG/ML SOLUCION PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/78757/78757_ft.pdf,levetiracetam,N03AX14,VÍA INTRAVENOSA  (Levetiracetam 1.000 mg inyectable perfusión 100 ml),SI,NO,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78757/78757_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78757/78757_ft.pdf
606444,323671007,"PIPERACILINA/TAZOBACTAM SANDOZ 4 G/0,5 G POLVO PARA SOLUCION PARA PERFUSION",https://cima.aemps.es/cima/pdfs/es/ft/71286/71286_ft.pdf,piperacilina + tazobactam,J01CR05,VÍA INTRAVENOSA  (Piperacilina/Tazobactam 4.000 mg/500 mg inyectable),SI,SI,SANDOZ FARMACEUTICA S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/71286/71286_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/71286/71286_ft.pdf
606445,408015000,ACTIRA 400 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/78761/78761_ft.pdf,moxifloxacino,J01MA14,VÍA ORAL  (Moxifloxacino 400 mg comprimido),SI,SI,BAYER HISPANIA S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78761/78761_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78761/78761_ft.pdf
606446,376690007,DEPRAX 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/78762/78762_ft.pdf,trazodona,N06AX05,VÍA ORAL  (Trazodona 100 mg comprimido),SI,SI,ANGELINI PHARMA ESPANA S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78762/78762_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78762/78762_ft.pdf
606447,370374007,CEFEPIMA NORMON 2 G POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE Y PARA PERFUSION  EFG,https://cima.aemps.es/cima/pdfs/es/ft/78772/78772_ft.pdf,cefepima,J01DE01,"VÍA INTRAMUSCULAR, VÍA INTRAVENOSA  (Cefepima 2.000 mg inyectable)",SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78772/78772_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78772/78772_ft.pdf
606448,376115000,CEFEPIMA NORMON 1 G POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE Y PARA PEFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78773/78773_ft.pdf,cefepima,J01DE01,"VÍA INTRAMUSCULAR, VÍA INTRAVENOSA  (Cefepima 1.000 mg inyectable)",SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78773/78773_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78773/78773_ft.pdf
606455,324343004,MEROPENEM ACIC 500 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78814/78814_ft.pdf,meropenem,J01DH02,VÍA INTRAVENOSA  (Meropenem 500 mg inyectable),SI,SI,ACIC EUROPE LIMITED,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78814/78814_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78814/78814_ft.pdf
606456,324344005,MEROPENEM ACIC 1000 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78815/78815_ft.pdf,meropenem,J01DH02,VÍA INTRAVENOSA  (Meropenem 1.000 mg inyectable),SI,SI,ACIC EUROPE LIMITED,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78815/78815_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78815/78815_ft.pdf
606457,66071000140101,KABIPAC CLORURO DE SODIO 9 MG/ML SOLUCION PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/32726/32726_ft.pdf,sodio cloruro,B05BB91,"VÍA INTRAVENOSA  (Sodio cloruro 0,9% inyectable perfusión 50 ml)",SI,NO,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/32726/32726_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/32726/32726_ft.pdf
606458,67231000140107,GLUCOSA SERRACLINICS 5% SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf,glucosa,B05BA03,VÍA INTRAVENOSA  (Glucosa 5% inyectable perfusión 50 ml),SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf
606459,66361000140106,GLUCOSA SERRACLINICS 5% SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf,glucosa,B05BA03,VÍA INTRAVENOSA  (Glucosa 5% inyectable perfusión 500 ml),SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf
606460,66351000140109,GLUCOSA SERRACLINICS 5% SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf,glucosa,B05BA03,VÍA INTRAVENOSA  (Glucosa 5% inyectable perfusión 250 ml),SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf
606461,66341000140107,GLUCOSA SERRACLINICS 5% SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf,glucosa,B05BA03,VÍA INTRAVENOSA  (Glucosa 5% inyectable perfusión 100 ml),SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf
606470,66901000140109,"GLUCOSALINO  SERRACLINICS 3,3/0,3% SOLUCION PARA PERFUSION EFG",https://cima.aemps.es/cima/pdfs/es/ft/78821/78821_ft.pdf,glucosa + sodio cloruro,B05BB02,"VÍA INTRAVENOSA  (Glucosa 3,3%/Sodio cloruro 0,3% inyectable perfusión 500 ml)",SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78821/78821_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78821/78821_ft.pdf
606471,66561000140103,"GLUCOSALINO  SERRACLINICS 3,3/0,3% SOLUCION PARA PERFUSION EFG",https://cima.aemps.es/cima/pdfs/es/ft/78821/78821_ft.pdf,glucosa + sodio cloruro,B05BB02,"VÍA INTRAVENOSA  (Glucosa 3,3%/Sodio cloruro 0,3% inyectable perfusión 250 ml)",SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78821/78821_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78821/78821_ft.pdf
606472,67311000140105,"GLUCOSALINO  SERRACLINICS 3,3/0,3% SOLUCION PARA PERFUSION EFG",https://cima.aemps.es/cima/pdfs/es/ft/78821/78821_ft.pdf,glucosa + sodio cloruro,B05BB02,"VÍA INTRAVENOSA  (Glucosa 3,3%/Sodio cloruro 0,3% inyectable perfusión 100 ml)",SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78821/78821_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78821/78821_ft.pdf
606473,67091000140102,"GLUCOSALINO  SERRACLINICS 3,3/0,3% SOLUCION PARA PERFUSION EFG",https://cima.aemps.es/cima/pdfs/es/ft/78821/78821_ft.pdf,glucosa + sodio cloruro,B05BB02,"VÍA INTRAVENOSA  (Glucosa 3,3%/Sodio cloruro 0,3% inyectable perfusión 1.000 ml)",SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78821/78821_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78821/78821_ft.pdf
606478,410943002,ESOMEPRAZOL ALTAN 40 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78743/78743_ft.pdf,esomeprazol,A02BC05,VÍA INTRAVENOSA  (Esomeprazol 40 mg inyectable),SI,SI,ALTAN PHARMACEUTICALS SA,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78743/78743_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78743/78743_ft.pdf
606482,66371000140103,GLUCOSA SERRACLINICS 5% SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf,glucosa,B05BA03,VÍA INTRAVENOSA  (Glucosa 5% inyectable perfusión 1.000 ml),SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78817/78817_ft.pdf
606488,28111000140104,FOSFOCINA 4 G POLVO PARA SOLUCION PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/50878/50878_ft.pdf,fosfomicina,J01XX01,VÍA INTRAVENOSA  (Fosfomicina 4 g inyectable IV),SI,NO,LABORATORIOS ERN S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/50878/50878_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/50878/50878_ft.pdf
606489,28061000140100,FOSFOCINA 1 G POLVO Y DISOLVENTE PARA SOLUCION PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/50882/50882_ft.pdf,fosfomicina,J01XX01,VÍA INTRAVENOSA  (Fosfomicina 1 g inyectable IV),SI,NO,LABORATORIOS ERN S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/50882/50882_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/50882/50882_ft.pdf
606490,66071000140101,FISIOLOGICO SERRACLINICS 9 MG/ML SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf,sodio cloruro,B05BB01,"VÍA INTRAVENOSA  (Sodio cloruro 0,9% inyectable perfusión 50 ml)",SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf
606492,66091000140100,FISIOLOGICO SERRACLINICS 9 MG/ML SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf,sodio cloruro,B05BB01,"VÍA INTRAVENOSA  (Sodio cloruro 0,9% inyectable perfusión 500 ml)",SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf
606493,67731000140104,FISIOLOGICO SERRACLINICS 9 MG/ML SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf,sodio cloruro,B05BB01,"VÍA INTRAVENOSA  (Sodio cloruro 0,9% inyectable perfusión 250 ml)",SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf
606494,66081000140103,FISIOLOGICO SERRACLINICS 9 MG/ML SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf,sodio cloruro,B05BB01,"VÍA INTRAVENOSA  (Sodio cloruro 0,9% inyectable perfusión 100 ml)",SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf
606497,154121000140106,"LORMETAZEPAM KOEHLER 0,2 MG/ML SOLUCION INYECTABLE Y PARA PERFUSION EFG",https://cima.aemps.es/cima/pdfs/es/ft/79002/79002_ft.pdf,lormetazepam,N05CD06,"VÍA INTRAVENOSA  (Lormetazepam 0,2 mg/ml inyectable 10 ml ampolla)",SI,SI,DR. FRANZ KOEHLER CHEMIE GMBH,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/79002/79002_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/79002/79002_ft.pdf
606498,67231000140107,KABIPAC GLUCOSA 5% SOLUCION PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/58903/58903_ft.pdf,glucosa,B05BA03,VÍA INTRAVENOSA  (Glucosa 5% inyectable perfusión 50 ml),SI,NO,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/58903/58903_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/58903/58903_ft.pdf
606501,66111000140105,FISIOLOGICO SERRACLINICS 9 MG/ML SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf,sodio cloruro,B05BB01,"VÍA INTRAVENOSA  (Sodio cloruro 0,9% inyectable perfusión 1.000 ml)",SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78956/78956_ft.pdf
606516,370374007,CEFEPIMA HOSPIRA 2 G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION IV EFG,https://cima.aemps.es/cima/pdfs/es/ft/79069/79069_ft.pdf,cefepima,J01DE01,"VÍA INTRAMUSCULAR, VÍA INTRAVENOSA  (Cefepima 2.000 mg inyectable)",SI,SI,"HOSPIRA PRODUCTOS FARMACÉUTICOS Y HOSPITALARIOS, S.L.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/79069/79069_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/79069/79069_ft.pdf
606518,376115000,CEFEPIMA HOSPIRA 1 G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/79068/79068_ft.pdf,cefepima,J01DE01,"VÍA INTRAMUSCULAR, VÍA INTRAVENOSA  (Cefepima 1.000 mg inyectable)",SI,SI,"HOSPIRA PRODUCTOS FARMACÉUTICOS Y HOSPITALARIOS, S.L.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/79068/79068_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/79068/79068_ft.pdf
606520,384944008,MOXIFLOXACINO KABI 400 MG/250 ML SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/78972/78972_ft.pdf,moxifloxacino,J01MA14,VÍA INTRAVENOSA  (Moxifloxacino 400 mg inyectable perfusión 250 ml),SI,SI,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78972/78972_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78972/78972_ft.pdf
606525,45701000140105,SOMATOSTATINA GP PHARM 3 mg POLVO Y DISOLVENTE PARA SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/63672/63672_ft.pdf,somatostatina,H01CB01,VÍA INTRAVENOSA  (Somatostatina 3 mg inyectable perfusión),SI,SI,GP PHARM S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/63672/63672_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/63672/63672_ft.pdf
606528,330169002,CELECOXIB VIR 200 MG CAPSULAS DURAS EFG,https://cima.aemps.es/cima/pdfs/es/ft/78919/78919_ft.pdf,celecoxib,M01AH01,VÍA ORAL  (Celecoxib 200 mg cápsula),SI,SI,INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78919/78919_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/78919/78919_ft.pdf
606539,317320001,PANTOPRAZOL ACCORD HEALTHCARE 40 MG POLVO PARA SOLUCION INYECTABLE EFG,https://cima.aemps.es/cima/pdfs/es/ft/79327/79327_ft.pdf,pantoprazol,A02BC02,VÍA INTRAVENOSA  (Pantoprazol 40 mg inyectable),SI,SI,ACCORD HEALTHCARE S.L.U.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/79327/79327_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/79327/79327_ft.pdf
